ORDER_DATE,CAR_NUM,VISIT_ORDER,LAT,LON
20220424,CA03,19,1.3249,103.93339
20220424,CA03,20,1.30979,103.92104
20220424,CA03,21,1.33536,103.9715
20220424,CA03,22,1.33536,103.9715
20220424,CA03,23,1.33853,103.96522
20220424,CA03,24,1.31895,103.89445
20220424,CD01,0,1.31895,103.89445
20220424,CD01,1,1.35224,103.84237
20220424,CD01,2,1.35115,103.84259
20220424,CD01,3,1.3486,103.8423
20220424,CD01,4,1.35109,103.84183
20220424,CD01,5,1.34948,103.84147
20220424,CD01,6,1.35638,103.83748
20220424,CD01,7,1.35901,103.83391
20220424,CD01,8,1.35901,103.83391
20220424,CD01,9,1.35949,103.83379
20220424,CD01,10,1.35999,103.84635
20220424,CD01,11,1.3598,103.84278
20220424,CD01,12,1.35582,103.84887
20220424,CD01,13,1.33104,103.8549
20220424,CD01,14,1.33177,103.857
20220424,CD01,15,1.34168,103.84932
20220424,CD01,16,1.34168,103.84932
20220424,CD01,17,1.36636,103.85904
20220424,CD01,18,1.36049,103.85293
20220424,CD01,19,1.37356,103.85011
20220424,CD01,20,1.35906,103.83352
20220424,CD01,21,1.31895,103.89445
20220424,CE03,0,1.31895,103.89445
20220424,CE03,1,1.28373,103.84402
20220424,CE03,2,1.28755,103.84418
20220424,CE03,3,1.27838,103.84249
20220424,CE03,4,1.28563,103.84409
20220424,CE03,5,1.28576,103.84395
20220424,CE03,6,1.28807,103.84471
20220424,CE03,7,1.28616,103.84225
20220424,CE03,8,1.29556,103.85904
20220424,CE03,9,1.28535,103.84507
20220424,CE03,10,1.28275,103.85058
20220424,CE03,11,1.29503,103.8583
20220424,CE03,12,1.29121,103.85768
20220424,CE03,13,1.27221,103.8378
20220424,CE03,14,1.31895,103.89445
20220424,DT02,0,1.31895,103.89445
20220424,DT02,1,1.30573,103.75924
20220424,DT02,2,1.30573,103.75924
20220424,DT02,3,1.31895,103.89445
20220424,CE06,0,1.31895,103.89445
20220424,CE06,1,1.32784,103.87314
20220424,CE06,2,1.32655,103.87557
20220424,CE06,3,1.32655,103.87557
20220424,CE06,4,1.32698,103.87469
20220424,CE06,5,1.32601,103.8791
20220424,CE06,6,1.32581,103.8791
20220424,CE06,7,1.32534,103.8793
20220424,CE06,8,1.32817,103.87897
20220424,CE06,9,1.32887,103.87929
20220424,CE06,10,1.32887,103.87929
20220424,CE06,11,1.32966,103.87853
20220424,CE06,12,1.32287,103.87795
20220424,CE06,13,1.32676,103.87648
20220424,CE06,14,1.32654,103.87644
20220424,CE06,15,1.32495,103.88006
20220424,CE06,16,1.32654,103.87644
20220424,CE06,17,1.32696,103.8791
20220424,CE06,18,1.3298,103.87661
20220424,CE06,19,1.32864,103.87408
20220424,CE06,20,1.32868,103.87385
20220424,CE06,21,1.32657,103.87752
20220424,CE06,22,1.32657,103.87752
20220424,CE06,23,1.3266,103.87734
20220424,CE06,24,1.32893,103.87653
20220424,CE06,25,1.31895,103.89445
20220424,CE01,0,1.31895,103.89445
20220424,CE01,1,1.30225,103.86251
20220424,CE01,2,1.30376,103.85474
20220424,CE01,3,1.31488,103.86618
20220424,CE01,4,1.30374,103.85453
20220424,CE01,5,1.31186,103.86335
20220424,CE01,6,1.30408,103.86492
20220424,CE01,7,1.31538,103.86669
20220424,CE01,8,1.31729,103.8569
20220424,CE01,9,1.31729,103.8569
